type_name,actual_gid
Platform::Objects::AuditLog::RepoConfigDisableCollaboratorsOnlyAuditEntry,
Platform::Objects::AuditLog::RepoConfigDisableContributorsOnlyAuditEntry,
Platform::Objects::AuditLog::RepoConfigDisableSockpuppetDisallowedAuditEntry,
Platform::Objects::AuditLog::RepoConfigEnableAnonymousGitAccessAuditEntry,
Platform::Objects::AuditLog::RepoConfigEnableCollaboratorsOnlyAuditEntry,
Platform::Objects::AuditLog::RepoConfigEnableContributorsOnlyAuditEntry,
Platform::Objects::AuditLog::RepoConfigEnableSockpuppetDisallowedAuditEntry,
Platform::Objects::AuditLog::RepoConfigLockAnonymousGitAccessAuditEntry,
Platform::Objects::AuditLog::RepoConfigUnlockAnonymousGitAccessAuditEntry,
Platform::Objects::AuditLog::RepoCreateAuditEntry,
Platform::Objects::AuditLog::RepoDestroyAuditEntry,
Platform::Objects::AuditLog::RepoRemoveMemberAuditEntry,
Platform::Objects::AuditLog::RepoRemoveTopicAuditEntry,
Platform::Objects::AuditLog::RepositoryVisibilityChangeDisableAuditEntry,
Platform::Objects::AuditLog::RepositoryVisibilityChangeEnableAuditEntry,
Platform::Objects::AuditLog::TeamAddMemberAuditEntry,
Platform::Objects::AuditLog::TeamAddRepositoryAuditEntry,
Platform::Objects::AuditLog::TeamChangeParentTeamAuditEntry,
Platform::Objects::AuditLog::TeamRemoveMemberAuditEntry,
Platform::Objects::AuditLog::TeamRemoveRepositoryAuditEntry,
Platform::Objects::OrganizationIdentityProvider,/organization/{organization_id}/identity_provider/{organization_identity_provider_id}
Platform::Objects::Migration,
Platform::Objects::MigratableResource,
Platform::Objects::MigrationMapConflict,
Platform::Objects::DeployKey,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/deploy_key/{deploy_key_id}
Platform::Objects::PinnedIssue,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/pinned_issue/{pinned_issue_id}
Platform::Objects::CodeOfConduct,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/code_of_conduct/{code_of_conduct_id}
Platform::Objects::RepositoryVulnerabilityAlert,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/vulnerability_alert/{repository_vulnerability_alert_id}
Platform::Objects::SecurityAdvisory,/security_advisory/{ghsa_id}
Platform::Objects::DependencyGraphManifest,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/depenency_graph_manifest/{dependency_graph_manifest_id}
Platform::Objects::Import,/user/{user_id}/import/{import_id}
Platform::Objects::PackageTag,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/package_tag/{package_tag_id}
Platform::Objects::SavedReply,/user/{user_id}/saved_reply/{saved_reply_id}
Platform::Objects::MobilePushNotificationSchedule,/user/{user_id}/mobile_push_notification_schedule/{mobile_push_notification_schedule_id}
Platform::Objects::NotificationThread,/user/{user_id}/notification_thread/{notification_thread_id}
Platform::Objects::RepositoryAdvisory,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/advisory/{repository_advisory_id}
Platform::Objects::RepositoryAdvisoryComment,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/advisory_comment/{repository_advisory_comment_id}
Platform::Objects::NotificationFilter,/user/{user_id}/notification_filter/{notification_filter_id}
Platform::Objects::ContentAttachment,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/content_attachment/{content_attachment_id}
Platform::Objects::ContentReference,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/content_reference/{content_reference_id}
Platform::Objects::Tag,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/tag/{tag_id}
